code,name,industry,quality_score,pe_percentile,pb_percentile,pe,pb,cash_gap,profit_gap,cfo_net_rate,ar_op_ratio,report_date
688065,凯赛生物,C28化学纤维制造业,0.12444124191112517,8.7,5.4,56.09,1.85,-0.1490664837942144,0.0629211409703978,-0.3830491964280252,2.358015440296273,20260331
002736,国信证券,J67资本市场服务,0.12048192771084337,10.8,17.4,9.73,1.05,,-0.030685422283887043,,,20260331
600436,片仔癀,C27医药制造业,0.11819498158987612,31.8,4.0,43.61,5.45,-0.08338319414909356,-0.13320153922233813,0.32045982535613926,4.114021931718886,20260331
603288,海天味业,C14食品制造业,0.1175471436038336,4.5,4.5,30.01,5.2,0.038573683007911086,0.019899224197573284,-0.2936445047569845,0.37014336140943405,20260331
000883,湖北能源,D44电力、热力生产和供应业,0.11660699613333086,42.5,22.4,16.3,0.89,-0.4161890190458204,0.38250556434631267,-0.9581958634033165,3.0787459033168476,20260331
000750,国海证券,J67资本市场服务,0.11646586345381527,17.7,44.8,29.85,1.08,,-0.041320681635250045,,,20260331
600027,华电国际,D44电力、热力生产和供应业,0.11368409765786454,35.4,21.2,9.45,1.11,0.0549084262266899,0.10524127418750617,-0.06550384783675806,4.090058443670212,20260331
300012,华测检测,M74专业技术服务业,0.108650541426736,22.6,19.0,22.56,3.03,-0.16555577381422903,0.16558370362157637,-0.16073456099026495,11.27441159614368,20260331
603369,今世缘,C15酒、饮料和精制茶制造业,0.10600865030104596,14.3,3.5,14.68,1.92,0.008795437850902199,-0.0052643149725351,-0.4152042834054445,0.015816241089259987,20260331
600570,恒生电子,I65软件和信息技术服务业,0.1043377683932199,17.1,8.7,32.65,4.38,-3.3353680134639827,3.058148848006785,-1.8027914211912432,5.853713867936299,20260331
002709,天赐材料,C39计算机、通信和其他电子设备制造业,0.10245029070561615,41.0,37.4,26.39,3.96,-9.67021744384386,8.566637706875103,-0.7996019079197786,11.625522033150542,20260331
600109,国金证券,J67资本市场服务,0.10240963855421686,9.2,13.2,13.65,0.9,,-0.0687826305166348,,,20260331
600763,通策医疗,Q84卫生,0.09960678395990871,4.1,3.5,32.33,3.69,0.006255051945996737,-0.005287745522684517,0.06895530393187999,7.178878232920322,20260331
600166,福田汽车,C36汽车制造业,0.0987704141488154,22.4,49.1,17.06,1.52,0.14162405327477634,0.1153940944754197,-0.19523135302882866,1.924297876666254,20260331
600132,重庆啤酒,C15酒、饮料和精制茶制造业,0.09856332138840455,2.8,5.8,18.55,12.13,0.0892457183621933,0.008668194282789865,-0.2576747798094149,0.14358823835493484,20260331
600085,同仁堂,C27医药制造业,0.09373733294397636,29.8,3.5,32.78,2.51,-0.05320744581625325,-0.12888950135725452,-0.034646111772296574,2.5251915029432976,20260331
601601,中国太保,J68保险业,0.08835341365461848,2.6,17.7,5.67,0.96,,-0.10259428437952467,,,20260331
601139,深圳燃气,D45燃气生产和供应业,0.08567401103690794,3.0,3.5,12.06,1.13,-0.32151137578464695,0.20775965878206137,-0.8191578112402785,4.5873561230118955,20260331
002078,太阳纸业,C22造纸和纸制品业,0.08446900648707872,41.3,8.2,12.12,1.27,0.04074849727224983,-0.014643880018586186,-0.03864831307542167,3.751394997644459,20260331
601098,中南传媒,R86新闻和出版业,0.08235650847209015,37.9,15.5,12.26,1.19,-0.1762517766304985,0.0019657252386833246,-0.41295359180943775,2.6932013512510022,20260331
600886,国投电力,D44电力、热力生产和供应业,0.08096576053893326,24.2,42.5,16.19,1.74,-0.015296210211155126,0.058650652728657104,-0.8476917589756708,0.681248642303285,20260331
601555,东吴证券,J67资本市场服务,0.07931726907630522,7.2,41.8,12.06,0.93,,-0.12076901718358457,,,20260331
600674,川投能源,D44电力、热力生产和供应业,0.07406098099746226,28.0,15.7,15.85,1.62,-0.046264593955850586,0.06408490199834571,-0.7746725528851797,1.4128740511920703,20260331
601117,中国化学,E48土木工程建筑业,0.07281896429427118,5.9,6.3,7.2,0.69,-0.15411158570268813,0.04063380312887643,-0.38503652803878446,4.025597467497626,20260331
600741,华域汽车,C36汽车制造业,0.07041897002051982,7.7,1.6,7.11,0.75,0.03895477534786329,0.08470018248483568,-0.20989866120387107,3.878356916671913,20260331
002472,双环传动,C36汽车制造业,0.06754985050561099,21.1,43.1,26.0,3.2,0.013123831945007769,0.007517781992368855,0.10907481362361073,16.672416143859568,20260331
601059,信达证券,J67资本市场服务,0.06526104417670683,8.1,19.8,27.6,2.53,,-0.16989419180858345,,,20260630
002049,紫光国微,C39计算机、通信和其他电子设备制造业,0.06451972139092205,31.2,6.6,33.46,3.97,-1.6784676420475506,1.495953381580629,-0.479336716543394,119.64899918466297,20260331
600369,西南证券,J67资本市场服务,0.0642570281124498,8.2,39.6,24.82,1.05,,-0.17548790511095858,,,20260331
600098,广州发展,D44电力、热力生产和供应业,0.06055317955966816,2.2,17.2,9.43,0.82,0.048359665175335964,0.09592762683222822,-0.253312941354959,3.767532287118955,20260331
601236,红塔证券,J67资本市场服务,0.05923694779116466,7.8,5.4,30.04,1.31,,-0.18564211267310393,,,20260331
688169,石头科技,C39计算机、通信和其他电子设备制造业,0.05818162951103292,18.6,3.4,19.96,1.98,-0.1438020542680032,-0.0941627458841825,-0.3830667146943186,1.4527094256588924,20260331
002318,久立特材,C33金属制品业,0.05809604685465822,25.0,1.5,13.31,2.21,-0.2891027694343016,0.32279750999822554,-0.33054743643422385,30.174913389978215,20260331
002673,西部证券,J67资本市场服务,0.0572289156626506,4.5,8.7,17.42,1.0,,-0.19748888353398886,,,20260331
688018,乐鑫科技,I65软件和信息技术服务业,0.05177495056759235,5.5,38.2,43.27,5.25,-0.010249020444660806,0.0364680239960562,0.027520855362571116,30.971467983501533,20260630
002340,格林美,C42废弃资源综合利用业,0.0502285037288292,2.2,14.2,21.64,1.58,0.12985972035485083,0.09648564133756632,-0.46528660675037165,1.4113999204536607,20260331
605117,德业股份,C38电气机械和器材制造业,0.04725741502073927,46.7,47.5,28.75,9.08,-0.1349638064268639,-0.06303534309930892,0.3791470194525662,159.1297040627493,20260331
600380,健康元,C27医药制造业,0.046290244663624476,15.5,3.1,14.18,1.19,-0.041268124796895234,-0.006971624143378596,-0.8292735078216432,0.6934678481150975,20260331
601628,中国人寿,J68保险业,0.045180722891566265,8.7,24.2,7.35,1.78,,-0.24892308052481593,,,20260331
002945,华林证券,J67资本市场服务,0.04417670682730924,26.1,34.5,82.47,5.57,,-0.249527986691096,,,20260331
601607,上海医药,F52零售业,0.04235558819281238,15.3,4.0,10.62,0.8,-0.03532682753378058,0.06131451772380392,-0.31782570535846255,5.675177551478569,20260331
300750,宁德时代,C38电气机械和器材制造业,0.039708181899690026,26.5,32.6,21.51,4.82,-0.08196699904259819,-0.21843886800410783,0.12294508372372297,9.21121894124823,20260630
600023,浙能电力,D44电力、热力生产和供应业,0.032422367687823056,29.8,34.0,9.0,0.86,-0.034393847523779164,-0.2592978033057525,0.08472634195923359,5.095582012891945,20260331
688411,海博思创,C38电气机械和器材制造业,0.03142170797729679,44.4,45.2,36.21,7.69,-0.6843964959125646,0.6597041421858563,-0.5402147068784956,67.11793587324449,20260331
600196,复星医药,C27医药制造业,0.03127713166887913,4.9,3.1,17.81,1.26,-0.07675162612039355,-0.057087096534568005,-0.3448276994900155,2.447799705597794,20260331
601319,中国人保,J68保险业,0.03112449799196787,12.8,31.9,7.42,0.99,,-0.3339673247588957,,,20260331
000921,海信家电,C38电气机械和器材制造业,0.028991544547007905,43.1,36.2,12.0,2.01,0.02892697977688541,0.0590756438716159,-0.6279733522875556,2.271674316326009,20260331
000513,丽珠集团,C27医药制造业,0.02825569578464613,3.1,2.9,13.94,1.89,-0.005755481365299686,-0.012104442423870432,-0.9030627423988691,0.6417731706710453,20260331
000963,华东医药,F52零售业,0.027857735341563952,1.1,1.1,14.27,1.94,-0.05829433019119312,0.01816061718993356,-0.3863036455679493,4.314361786786694,20260331
000088,盐田港,G55水上运输业,0.0266692376435987,5.4,40.8,16.0,1.28,-0.14731919876464694,-0.07388452965237513,-0.7456703583071912,1.3290538027119156,20260331
600968,海油发展,B11开采专业及辅助性活动,0.023065424515559707,5.5,19.0,10.17,1.32,-0.046093513103538486,0.10799586432091934,-0.25970206114698724,17.03034414885493,20260331
003031,中瓷电子,C39计算机、通信和其他电子设备制造业,0.020389100841213953,39.6,41.1,71.46,6.85,-0.5111079645492786,-0.2678553887790782,0.37832810515928145,153.42370922423606,20260331
