code,name,industry,quality_score,pe_percentile,pb_percentile,pe,pb,cash_gap,profit_gap,cfo_net_rate,ar_op_ratio,report_date
601799,星宇股份,C36汽车制造业,-0.02392629620760256,1.5,1.5,16.38,2.35,-0.03865692682697364,-0.05503660953579459,0.033129549751935175,981.3536103574623,20260331
600690,海尔智家,C38电气机械和器材制造业,-0.02487961038448462,8.6,6.5,11.27,1.68,0.12744561410226896,-0.10421824707322724,-0.2673921426767712,1.542365572997866,20260331
300760,迈瑞医疗,C35专用设备制造业,-0.025882632758576954,11.2,3.9,23.87,4.66,0.1450392715252955,-0.18574321630615143,-0.10063566136563719,2.162799496479445,20260331
000651,格力电器,C38电气机械和器材制造业,-0.025884492343119805,48.4,8.3,7.78,1.49,-0.28274128131694287,-0.025285008511608975,-1.9375126852636573,3.5859462534396385,20260331
002241,歌尔股份,C39计算机、通信和其他电子设备制造业,-0.027568044112242895,21.8,34.0,20.66,2.2,-0.028704944954052847,-0.024632781535586457,-0.044414842936354615,136.89176617425213,20260331
600765,中航重机,C37铁路、船舶、航空航天和其他运输设备制造业,-0.030661582379248653,49.2,2.8,37.46,1.49,0.111753189966044,0.08273316165919864,-0.13948244806714644,26.516233152233774,20260331
300496,中科创达,I65软件和信息技术服务业,-0.031847016095307046,42.0,23.7,61.93,2.74,0.11177465489526628,-0.040638537109759953,0.03272988071169939,21.850806668030316,20260331
000768,中航西飞,C37铁路、船舶、航空航天和其他运输设备制造业,-0.035181913848553875,2.9,2.9,52.74,2.6,-0.011401976097375699,0.05174838303014384,-0.9964347922004787,4.604169346358081,20260331
603816,顾家家居,C21家具制造业,-0.03525156629258931,9.2,2.6,11.74,1.87,0.15253360136768757,-0.10525671490714927,-0.2575350481514318,1.8511056037851776,20260331
600298,安琪酵母,C14食品制造业,-0.039385759987553656,37.7,33.0,23.05,2.96,0.031299387163240544,-0.07034611374846489,-0.19596215535560316,6.406716580025819,20260331
603179,新泉股份,C36汽车制造业,-0.040779390494939866,41.0,10.7,34.85,3.7,0.00925962022779303,-0.05132089993526345,0.001389998843468592,339.48303945931366,20260630
000596,古井贡酒,C15酒、饮料和精制茶制造业,-0.042101149898757316,28.7,3.1,17.1,1.85,0.22389257242308713,-0.11945712688349108,-0.5207579522027431,0.02901480275131362,20260331
603049,中策橡胶,C29橡胶和塑料制品业,-0.04919033314967644,26.3,24.2,10.27,1.69,0.0221233290575078,0.03805382908331589,-0.3160510140166764,17.918999740502656,20260331
002508,老板电器,C38电气机械和器材制造业,-0.049651763837695345,21.3,2.2,12.22,1.27,0.010718617898288874,-0.034509433295054404,-0.4484121833756654,4.907269336503852,20260331
603605,珀莱雅,C26化学原料和化学制品制造业,-0.04995470842517298,4.5,2.7,15.85,3.68,0.14885815958832838,-0.06915268866396196,-0.07599734936631168,7.35102564280949,20260331
600363,联创光电,C39计算机、通信和其他电子设备制造业,-0.05297870895265416,1.2,4.4,27.63,2.72,0.2569482797216841,-0.0784463214078891,0.02868947143421871,10.186418162153906,20260331
300442,润泽科技,I65软件和信息技术服务业,-0.053008752183587374,34.1,44.4,21.45,7.81,-0.8984313197441285,-0.1303526605294658,-0.48182133863058635,9.901534104004963,20260331
000887,中鼎股份,C29橡胶和塑料制品业,-0.05433624057900682,32.4,42.6,15.99,1.65,0.1182415229079653,-0.09590876754050226,-0.02417031401063393,13.3789417423834,20260331
601058,赛轮轮胎,C29橡胶和塑料制品业,-0.05750130022550208,32.6,6.2,12.68,2.0,0.06869845173659783,-0.06777257969069783,-0.1417870929394762,8.811787986010385,20260331
001391,国货航,G56航空运输业,-0.058523706415141014,6.5,6.5,21.33,1.94,0.24837574706846,-0.18107399719417216,0.04920046100250878,7.615965427815746,20260331
603737,三棵树,C26化学原料和化学制品制造业,-0.06685392951072672,21.6,8.4,27.03,6.99,0.05833359788535697,-0.11693939681862009,-0.1345901567566998,8.595357428900657,20260331
603092,德力佳,C34通用设备制造业,-0.06939140898522725,10.6,10.6,22.74,3.56,0.02896846698193256,0.1070251101306463,-0.3628037866429002,160.7998864834694,20260331
001386,马可波罗,C30非金属矿物制品业,-0.07182792106083438,14.1,14.1,15.31,1.47,0.17775227988525288,-0.007995554608276612,-1.002873005121522,1.3915681733203673,20260331
300628,亿联网络,C39计算机、通信和其他电子设备制造业,-0.07198011773849505,31.2,24.9,18.64,5.03,0.49548217613954915,-0.017408155667215874,0.07550284446331773,19.734657163177268,20260331
